date,dailycases,7ma
2020-11-19,182835,161785
2020-11-20,192800,164740
2020-11-21,179715,167051
2020-11-22,150841,167966
2020-11-23,150958,168264
2020-11-24,167014,169733
2020-11-25,183629,172541
2020-11-26,126335,164470
2020-11-27,193725,164602
2020-11-28,154522,161003
2020-11-29,135242,158775
2020-11-30,147587,158293
2020-12-01,176753,159684
2020-12-02,195796,161422
2020-12-03,210204,173404
2020-12-04,224831,177847
2020-12-05,212880,186184
2020-12-06,177801,192264
2020-12-07,180193,196922
2020-12-08,213498,202171
